"Name","Version","License","URL"
"CacheControl","0.12.6","Apache Software License","https://github.com/ionrock/cachecontrol"
"Escher","1.7.3","MIT License","https://escher.github.io"
"Flask","1.1.2","BSD License","https://palletsprojects.com/p/flask/"
"Flask-Admin","1.5.6","BSD License","https://github.com/flask-admin/flask-admin/"
"Flask-BasicAuth","0.2.0","BSD License","https://github.com/jpvanhal/flask-basicauth"
"Flask-Cors","3.0.8","MIT License","https://github.com/corydolphin/flask-cors"
"Flask-Migrate","2.5.3","MIT License","http://github.com/miguelgrinberg/flask-migrate/"
"Flask-SQLAlchemy","2.4.3","BSD License","https://github.com/pallets/flask-sqlalchemy"
"IProgress","0.4","GNU Library or Lesser General Public License (LGPL), BSD License","https://github.com/aebrahim/IProgress"
"Jinja2","2.11.2","BSD License","https://palletsprojects.com/p/jinja/"
"Mako","1.1.3","MIT License","https://www.makotemplates.org/"
"MarkupSafe","1.1.1","BSD License","https://palletsprojects.com/p/markupsafe/"
"PyYAML","5.3.1","MIT License","https://github.com/yaml/pyyaml"
"Pygments","2.6.1","BSD License","https://pygments.org/"
"SQLAlchemy","1.3.17","MIT License","http://www.sqlalchemy.org"
"Send2Trash","1.5.0","BSD License","https://github.com/hsoft/send2trash"
"WTForms","2.3.1","BSD License","https://wtforms.readthedocs.io/"
"Werkzeug","1.0.1","BSD License","https://palletsprojects.com/p/werkzeug/"
"alembic","1.4.2","MIT License","https://alembic.sqlalchemy.org"
"apispec","3.3.1","MIT License","https://github.com/marshmallow-code/apispec"
"appdirs","1.4.4","MIT License","http://github.com/ActiveState/appdirs"
"atomicwrites","1.4.0","MIT License","https://github.com/untitaker/python-atomicwrites"
"attrs","19.3.0","MIT License","https://www.attrs.org/"
"backcall","0.2.0","BSD License","https://github.com/takluyver/backcall"
"black","19.10b0","MIT License","https://github.com/psf/black"
"bleach","3.1.5","Apache Software License","https://github.com/mozilla/bleach"
"blessings","1.7","MIT License","https://github.com/erikrose/blessings"
"blinker","1.4","MIT License","http://pythonhosted.org/blinker/"
"cachetools","4.1.0","MIT License","https://github.com/tkem/cachetools/"
"cameo","0.11.15","Apache Software License","http://cameo.bio"
"certifi","2020.6.20","Mozilla Public License 2.0 (MPL 2.0)","https://certifiio.readthedocs.io/en/latest/"
"chardet","3.0.4","GNU Library or Lesser General Public License (LGPL)","https://github.com/chardet/chardet"
"click","7.1.2","BSD License","https://palletsprojects.com/p/click/"
"cobra","0.18.1","GNU Lesser General Public License v2 or later (LGPLv2+), GNU General Public License v2 or later (GPLv2+)","https://opencobra.github.io/cobrapy"
"coverage","5.1","Apache Software License","https://github.com/nedbat/coveragepy"
"decorator","4.4.2","BSD License","https://github.com/micheles/decorator"
"defusedxml","0.6.0","Python Software Foundation License","https://github.com/tiran/defusedxml"
"depinfo","1.5.3","Apache Software License","https://github.com/Midnighter/dependency-info"
"dparse","0.5.1","MIT License","https://github.com/pyupio/dparse"
"ecdsa","0.15","MIT","http://github.com/warner/python-ecdsa"
"entrypoints","0.3","MIT License","https://github.com/takluyver/entrypoints"
"et-xmlfile","1.0.1","MIT License","https://bitbucket.org/openpyxl/et_xmlfile"
"firebase-admin","4.3.0","Apache Software License","https://firebase.google.com/docs/admin/setup/"
"flake8","3.8.3","MIT License","https://gitlab.com/pycqa/flake8"
"flake8-bugbear","20.1.4","MIT License","https://github.com/PyCQA/flake8-bugbear"
"flake8-docstrings","1.5.0","MIT License","https://gitlab.com/pycqa/flake8-docstrings"
"flask-apispec","0.9.0","MIT License","https://github.com/jmcarp/flask-apispec"
"future","0.18.2","MIT License","https://python-future.org"
"fuzzywuzzy","0.18.0","GNU General Public License v2 (GPLv2)","https://github.com/seatgeek/fuzzywuzzy"
"gevent","20.6.2","MIT License","http://www.gevent.org/"
"gnomic","1.0.1","Apache Software License","UNKNOWN"
"google-api-core","1.17.0","Apache Software License","https://github.com/googleapis/python-api-core"
"google-api-python-client","1.8.3","Apache Software License","http://github.com/google/google-api-python-client/"
"google-auth","1.15.0","Apache Software License","https://github.com/googleapis/google-auth-library-python"
"google-auth-httplib2","0.0.3","Apache Software License","https://github.com/GoogleCloudPlatform/google-auth-library-python-httplib2"
"google-cloud-core","1.3.0","Apache Software License","https://github.com/GoogleCloudPlatform/google-cloud-python"
"google-cloud-firestore","1.7.0","Apache Software License","https://github.com/googleapis/python-firestore"
"google-cloud-storage","1.28.1","Apache Software License","https://github.com/googleapis/python-storage"
"google-resumable-media","0.5.0","Apache Software License","https://github.com/GoogleCloudPlatform/google-resumable-media-python"
"googleapis-common-protos","1.51.0","Apache Software License","https://github.com/googleapis/googleapis"
"grako","3.18.1","BSD License","http://bitbucket.org/apalala/grako"
"greenlet","0.4.16","MIT License","https://github.com/python-greenlet/greenlet"
"grpcio","1.29.0","Apache Software License","https://grpc.io"
"gunicorn","20.0.4","MIT License","http://gunicorn.org"
"httplib2","0.18.1","MIT License","https://github.com/httplib2/httplib2"
"idna","2.9","BSD License","https://github.com/kjd/idna"
"importlib-metadata","1.6.1","Apache Software License","http://importlib-metadata.readthedocs.io/"
"inspyred","1.0.1","MIT License","https://inspyred.github.io"
"ipykernel","5.3.0","BSD License","https://ipython.org"
"ipython","7.15.0","BSD License","https://ipython.org"
"ipython-genutils","0.2.0","BSD License","http://ipython.org"
"ipywidgets","7.5.1","BSD License","http://ipython.org"
"isort","4.3.21","MIT License","https://github.com/timothycrosley/isort"
"itsdangerous","1.1.0","BSD License","https://palletsprojects.com/p/itsdangerous/"
"jdcal","1.4.1","BSD License","https://github.com/phn/jdcal"
"jedi","0.17.1","MIT License","https://github.com/davidhalter/jedi"
"jsonschema","3.2.0","MIT License","https://github.com/Julian/jsonschema"
"jupyter-client","6.1.3","BSD License","https://jupyter.org"
"jupyter-core","4.6.3","BSD License","https://jupyter.org"
"lazy-object-proxy","1.5.0","BSD License","https://github.com/ionelmc/python-lazy-object-proxy"
"marshmallow","3.6.1","MIT License","https://github.com/marshmallow-code/marshmallow"
"mccabe","0.6.1","MIT License","https://github.com/pycqa/mccabe"
"mistune","0.8.4","BSD License","https://github.com/lepture/mistune"
"more-itertools","8.4.0","MIT License","https://github.com/more-itertools/more-itertools"
"mpmath","1.1.0","BSD","http://mpmath.org"
"msgpack","1.0.0","Apache Software License","https://msgpack.org/"
"nbconvert","5.6.1","BSD License","https://jupyter.org"
"nbformat","5.0.7","BSD License","http://jupyter.org"
"networkx","1.9.1","BSD License","http://networkx.github.io/"
"notebook","6.0.3","BSD License","http://jupyter.org"
"numexpr","2.7.1","MIT","https://github.com/pydata/numexpr"
"numpy","1.19.0","BSD","https://www.numpy.org"
"openpyxl","3.0.3","MIT License","https://openpyxl.readthedocs.io"
"optlang","1.4.4","Apache Software License","https://github.com/biosustain/optlang"
"ordered-set","4.0.2","MIT License","https://github.com/LuminosoInsight/ordered-set"
"packaging","20.4","Apache Software License, BSD License","https://github.com/pypa/packaging"
"palettable","3.3.0","MIT License","https://jiffyclub.github.io/palettable/"
"pandas","1.0.5","BSD","https://pandas.pydata.org"
"pandocfilters","1.4.2","BSD License","http://github.com/jgm/pandocfilters"
"parso","0.7.0","MIT License","https://github.com/davidhalter/parso"
"pathspec","0.8.0","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/cpburnz/python-path-specification"
"pexpect","4.8.0","ISC License (ISCL)","https://pexpect.readthedocs.io/"
"pickleshare","0.7.5","MIT License","https://github.com/pickleshare/pickleshare"
"pika","1.1.0","BSD License","https://pika.readthedocs.io"
"pip-tools","5.2.1","BSD License","https://github.com/jazzband/pip-tools/"
"pipdeptree","1.0.0","MIT License","https://github.com/naiquevin/pipdeptree"
"pluggy","0.13.1","MIT License","https://github.com/pytest-dev/pluggy"
"prometheus-client","0.8.0","Apache Software License","https://github.com/prometheus/client_python"
"prompt-toolkit","3.0.5","BSD License","https://github.com/prompt-toolkit/python-prompt-toolkit"
"protobuf","3.11.3","3-Clause BSD License","https://developers.google.com/protocol-buffers/"
"psycopg2","2.8.5","GNU Library or Lesser General Public License (LGPL), Zope Public License","https://psycopg.org/"
"psycopg2-binary","2.8.5","GNU Library or Lesser General Public License (LGPL), Zope Public License","https://psycopg.org/"
"ptyprocess","0.6.0","ISC License (ISCL)","https://github.com/pexpect/ptyprocess"
"py","1.8.2","MIT License","https://py.readthedocs.io/"
"py2neo","3.1.2","Apache Software License","http://py2neo.org/"
"pyasn1","0.4.8","BSD License","https://github.com/etingof/pyasn1"
"pyasn1-modules","0.2.8","BSD License","https://github.com/etingof/pyasn1-modules"
"pycodestyle","2.6.0","MIT License","https://pycodestyle.readthedocs.io/"
"pydocstyle","5.0.2","MIT License","https://github.com/PyCQA/pydocstyle/"
"pyflakes","2.2.0","MIT License","https://github.com/PyCQA/pyflakes"
"pyparsing","2.4.7","MIT License","https://github.com/pyparsing/pyparsing/"
"pyrsistent","0.16.0","MIT License","http://github.com/tobgu/pyrsistent/"
"pytest","5.4.3","MIT License","https://docs.pytest.org/en/latest/"
"pytest-cov","2.10.0","BSD License","https://github.com/pytest-dev/pytest-cov"
"pytest-raises","0.11","UNKNOWN","https://github.com/Authentise/pytest-raises"
"python-Levenshtein","0.12.0","GNU General Public License v2 or later (GPLv2+)","http://github.com/ztane/python-Levenshtein"
"python-dateutil","2.8.1","BSD License, Apache Software License","https://dateutil.readthedocs.io"
"python-editor","1.0.4","Apache Software License","https://github.com/fmoo/python-editor"
"python-http-client","3.2.7","MIT","https://github.com/sendgrid/python-http-client"
"python-jose","3.1.0","MIT License","http://github.com/mpdavis/python-jose"
"python-libsbml","5.18.0","LGPL","http://sbml.org"
"python-libsbml-experimental","5.18.1","LGPL","http://sbml.org"
"pytz","2020.1","MIT License","http://pythonhosted.org/pytz"
"pyzmq","19.0.1","GNU Library or Lesser General Public License (LGPL), BSD License","https://pyzmq.readthedocs.org"
"raven","6.10.0","BSD","https://github.com/getsentry/raven-python"
"reframed","1.1.0","Apache Software License","https://github.com/cdanielmachado/reframed"
"regex","2020.6.8","Python Software Foundation License","https://bitbucket.org/mrabarnett/mrab-regex"
"requests","2.24.0","Apache Software License","https://requests.readthedocs.io"
"rsa","4.6","Apache Software License","https://stuvel.eu/rsa"
"ruamel.yaml","0.16.10","MIT License","https://sourceforge.net/p/ruamel-yaml/code/ci/default/tree"
"ruamel.yaml.clib","0.2.0","MIT License","https://bitbucket.org/ruamel/yaml.clib"
"safety","1.9.0","MIT License","https://github.com/pyupio/safety"
"scipy","1.5.0","BSD License","https://www.scipy.org"
"sendgrid","6.3.1","MIT","https://github.com/sendgrid/sendgrid-python/"
"sentry-sdk","0.14.4","BSD License","https://github.com/getsentry/sentry-python"
"six","1.15.0","MIT License","https://github.com/benjaminp/six"
"snowballstemmer","2.0.0","BSD License","https://github.com/snowballstem/snowball"
"swiglpk","4.65.1","GNU General Public License v3 (GPLv3)","https://github.com/biosustain/swiglpk"
"sympy","1.6","BSD License","https://sympy.org"
"terminado","0.8.3","BSD License","https://github.com/jupyter/terminado"
"testpath","0.4.4","BSD License","https://github.com/jupyter/testpath"
"toml","0.10.1","MIT License","https://github.com/uiri/toml"
"tornado","6.0.4","Apache Software License","http://www.tornadoweb.org/"
"tqdm","4.46.0","MIT License, Mozilla Public License 2.0 (MPL 2.0)","https://github.com/tqdm/tqdm"
"traitlets","4.3.3","BSD License","http://ipython.org"
"typed-ast","1.4.1","Apache License 2.0","https://github.com/python/typed_ast"
"uritemplate","3.0.1","BSD License, Apache Software License","https://uritemplate.readthedocs.org"
"urllib3","1.25.9","MIT License","https://urllib3.readthedocs.io/"
"wcwidth","0.2.4","MIT License","https://github.com/jquast/wcwidth"
"webargs","5.5.3","MIT License","https://github.com/marshmallow-code/webargs"
"webencodings","0.5.1","BSD License","https://github.com/SimonSapin/python-webencodings"
"widgetsnbextension","3.5.1","BSD License","http://ipython.org"
"zipp","3.1.0","MIT License","https://github.com/jaraco/zipp"
"zope.event","4.4","Zope Public License","http://github.com/zopefoundation/zope.event"
"zope.interface","5.1.0","Zope Public License","https://github.com/zopefoundation/zope.interface"
